Nombre,Email,Fecha,Tarea
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-25,Verificar que los assets estén listos
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-25,Contactar al depto de marketing para verificar el costo de la campaña
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-25,Contactar a Pedro Gomez para confirmar que ya tiene los PDFs con el diseño preliminar
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-26,Enviar los archivos finales de la campaña a Ana Martinez
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-26,Revisar los cambios solicitados por el equipo creativo
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-26,Actualizar el informe de avances para el cliente
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-27,Revisar la propuesta de diseño de la nueva landing page
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-27,Contactar a Maria Rodriguez para coordinar la producción de videos promocionales
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-27,Realizar el seguimiento de los pagos pendientes de clientes
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-28,Elaborar el plan de trabajo para la próxima semana
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-28,Revisar las últimas métricas de la campaña y presentar el informe al equipo
Juan Perez,thek321xd+jp150590@gmail.com,2023-04-28,Coordinar la entrega de materiales a los proveedores para la producción del evento
Maria Rodriguez,thek321xd+mr021285@gmail.com,2023-04-25,Revisar y actualizar la base de datos de clientes
Maria Rodriguez,thek321xd+mr021285@gmail.com,2023-04-25,Enviar los últimos informes financieros a la dirección general
Maria Rodriguez,thek321xd+mr021285@gmail.com,2023-04-25,Participar en la reunión de coordinación con el equipo de ventas
Maria Rodriguez,thek321xd+mr021285@gmail.com,2023-04-26,Preparar la presentación de la propuesta de publicidad para el cliente
Maria Rodriguez,thek321xd+mr021285@gmail.com,2023-04-26,Coordinar la producción de materiales para la campaña publicitaria
Maria Rodriguez,thek321xd+mr021285@gmail.com,2023-04-26,Revisar y aprobar los diseños finales de la campaña
Maria Rodriguez,thek321xd+mr021285@gmail.com,2023-04-27,Realizar la revisión final del plan de marketing anual
Maria Rodriguez,thek321xd+mr021285@gmail.com,2023-04-27,Participar en la reunión de seguimiento con el equipo de desarrollo
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-25,Actualizar el inventario de materiales para producción
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-25,Coordinar la producción de los materiales para la campaña publicitaria
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-25,Revisar y aprobar los diseños preliminares de la campaña publicitaria
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-26,Enviar la propuesta de cotización a los proveedores de materiales
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-26,Realizar la revisión del presupuesto para la campaña publicitaria
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-26,Contactar a Juan Perez para confirmar los cambios solicitados por el equipo creativo
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-27,Revisar y aprobar los presupuestos de los proyectos en curso
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-27,Enviar los archivos finales de diseño al equipo de producción
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-27,Participar en la reunión de seguimiento del proyecto con el equipo de desarrollo
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-28,Realizar la revisión final de los materiales producidos para la campaña publicitaria
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-28,Coordinar la logística de entrega de los materiales a los clientes
Pedro Gomez,thek321xd+pg230895@gmail.com,2023-04-28,Enviar los informes de producción a la dirección general
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-25,Realizar la revisión final del informe de avances para el cliente
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-25,Coordinar la entrega de materiales a los proveedores para la producción del evento
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-25,Enviar los archivos finales de la campaña publicitaria al equipo de producción
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-26,Participar en la reunión de coordinación con el equipo de ventas
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-26,Coordinar la producción de materiales para el evento
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-26,Revisar y aprobar los diseños finales para el evento
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-27,Realizar la revisión final de la lista de invitados para el evento
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-27,Participar en la reunión de coordinación con el equipo de logística para el evento
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-27,Realizar la inspección del lugar del evento para confirmar los detalles logísticos
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-28,Participar en la reunión de coordinación final con el equipo de ventas y de logística
Ana Martinez,thek321xd+am100482@gmail.com,2023-04-28,Realizar la revisión final de los materiales producidos para el evento
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-25,Realizar la revisión final de los informes financieros del mes
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-25,Coordinar el pago de facturas pendientes con el departamento de finanzas
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-25,Participar en la reunión de seguimiento de los proyectos en curso
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-26,Elaborar el plan de acción para mejorar la eficiencia del departamento de finanzas
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-26,Revisar y aprobar las órdenes de compra pendientes
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-26,Participar en la reunión de coordinación con el equipo de ventas
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-27,Realizar la revisión final del presupuesto del mes siguiente
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-27,Elaborar el informe financiero para la dirección general
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-27,Participar en la reunión de seguimiento del proyecto con el equipo de desarrollo
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-28,Realizar la revisión final de los informes de gastos del mes
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-28,Coordinar el pago de nómina del personal del departamento de finanzas
Daniela Duarte,thek321xd+dd190400@gmail.com,2023-04-28,Participar en la reunión de coordinación con el equipo de recursos humanos
